"part_name","part_number","description","quantity","step"
"3d_printed_fan_shroud_pc","P-JAT-FS-PC-N","Directs internal airflow to improve thermal management efficiency",1,"3d-printed-fan-shroud-pc.step"
"Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 10 - H Steel 4.6 Plain v1","DIN EN ISO 7046-2 - M2.5x10 - H Steel 4.6 Plain","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 10 - H",7,"countersunk-head-screw-din-en-iso-7046-2-m2-5-x-10-h-steel-4-6-plain-v1.step"
"Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H Steel 4.6 Plain v1","DIN EN ISO 7046-2 - M2.5x8 - H Steel 4.6 Plain","Countersunk Head Screw DIN EN ISO 7046-2 - M2.5 x 8 - H",8,"countersunk-head-screw-din-en-iso-7046-2-m2-5-x-8-h-steel-4-6-plain-v1.step"
"Raised Cheese Head Screw DIN 7985 - M4 x 18 - H Steel 4.6 Plain v1","DIN 7985 - M4x18-H H Steel 4.6 Plain","Raised Cheese Head Screw DIN 7985 - M4 x 18 - H",4,"raised-cheese-head-screw-din-7985-m4-x-18-h-steel-4-6-plain-v1.step"
"Raised Cheese Head Screw DIN 7985 - M4 x 8 - H Steel 4.6 Plain v1","DIN 7985 - M4x8-H H Steel 4.6 Plain","Raised Cheese Head Screw DIN 7985 - M4 x 8 - H",2,"raised-cheese-head-screw-din-7985-m4-x-8-h-steel-4-6-plain-v1.step"
"cnc_milled_back_panel_al","C-JAT-BP-AL-A","Rear panel with vertical ribs for air exhaust",1,"cnc-milled-back-panel-al.step"
"cnc_milled_bottom_shell_al","C-JAT-BS-AL-A","Main body with internal PCB mounting points and external enclosure mounting features",1,"cnc-milled-bottom-shell-al.step"
"cnc_milled_front_panel","C-JAT-FP-AL-A","Front panel serving as primary air inlet and interface surface",1,"cnc-milled-front-panel.step"
"cnc_milled_som_heatsink_cu","C-JAT-SH-CU-N","Facilitates heat dissipation from the module to maintain optimal operating temperatures - use high purity copper for best thermal performance",1,"cnc-milled-som-heatsink-cu.step"
"cnc_milled_top_cover_al","C-JAT-TC-AL-A","Top lid providing structural closure and mounting points for fan blowers",1,"cnc-milled-top-cover-al.step"
"cots_Elesa_Ganter_GN_425-8-88-BT v4","GN 425-6-88-BT","Grip for carrying the enclosure and enabling stacking and clustering",1,"cots-elesa-ganter-gn-425-8-88-bt-v4.step"
"cots_Mentor_1282.1200 v6","1282.1200","Transparent plastic light pipe panel-mounted",5,"cots-mentor-1282-1200-v6.step"
"cots_Sunon_EF50151BX-1B000-A99 v7","EF50151BX-1B000-A99","12V DC blower fan for enclosure airflow - 50x50x15mm",2,"cots-sunon-ef50151bx-1b000-a99-v7.step"
